Param Combination,wins(large_costs),avg_pbest(large_costs),avg_time(large_costs),wins(mid_costs_tight),avg_pbest(mid_costs_tight),avg_time(mid_costs_tight),wins(mid_nocosts_loose),avg_pbest(mid_nocosts_loose),avg_time(mid_nocosts_loose),wins(mid_nocosts_tight),avg_pbest(mid_nocosts_tight),avg_time(mid_nocosts_tight),wins(small_costs),avg_pbest(small_costs),avg_time(small_costs),wins(small_nocosts),avg_pbest(small_nocosts),avg_time(small_nocosts)
max_unimprove_iter:1_mutators:1_num_restarts:1_reaction_factor:1,0,0.857,101.285,1,0.801,44.008,0,0.924,41.562,0,0.876,46.018,6,0.978,11.708,7,0.96,13.372
max_unimprove_iter:1_mutators:1_num_restarts:2_reaction_factor:1,0,0.857,137.9,0,0.782,62.314,1,0.926,58.758,0,0.876,62.93,8,0.971,18.999,5,0.944,18.098
max_unimprove_iter:1_mutators:1_num_restarts:0_reaction_factor:2,0,0.827,35.54,0,0.686,14.398,0,0.875,12.59,0,0.821,12.7,5,0.938,3.414,2,0.901,3.555
max_unimprove_iter:1_mutators:1_num_restarts:1_reaction_factor:2,1,0.837,102.682,0,0.726,43.571,0,0.964,42.534,0,0.872,46.314,6,0.969,12.051,4,0.909,13.951
max_unimprove_iter:1_mutators:1_num_restarts:2_reaction_factor:2,1,0.862,139.714,0,0.798,61.553,0,0.924,58.513,0,0.895,63.373,8,0.983,18.993,6,0.956,17.009
max_unimprove_iter:2_mutators:0_num_restarts:0_reaction_factor:0,0,0.673,50.18,0,0.498,20.074,0,0.861,19.151,0,0.719,18.265,1,0.729,5.261,0,0.739,6.258
max_unimprove_iter:2_mutators:0_num_restarts:1_reaction_factor:0,0,0.728,151.149,0,0.533,66.531,0,0.873,63.636,0,0.732,66.764,2,0.766,20.813,0,0.78,19.784
max_unimprove_iter:2_mutators:0_num_restarts:2_reaction_factor:0,0,0.74,210.391,0,0.601,94.765,0,0.893,89.542,0,0.742,95.882,2,0.754,28.818,0,0.776,29.145
max_unimprove_iter:2_mutators:0_num_restarts:0_reaction_factor:1,0,0.686,51.033,0,0.515,20.657,0,0.854,19.157,0,0.722,19.153,2,0.727,5.233,0,0.754,5.216
max_unimprove_iter:2_mutators:0_num_restarts:1_reaction_factor:1,0,0.724,151.534,0,0.539,66.178,0,0.885,62.836,0,0.737,66.452,2,0.785,20.087,0,0.77,20.795
max_unimprove_iter:2_mutators:0_num_restarts:2_reaction_factor:1,0,0.717,208.358,0,0.586,94.323,0,0.867,91.039,0,0.763,94.504,2,0.797,27.768,0,0.78,28.79
max_unimprove_iter:2_mutators:0_num_restarts:0_reaction_factor:2,0,0.686,49.444,0,0.527,20.196,0,0.852,18.839,0,0.757,18.659,2,0.727,6.092,0,0.757,5.348
max_unimprove_iter:2_mutators:0_num_restarts:1_reaction_factor:2,0,0.731,149.59,0,0.549,65.983,0,0.883,63.85,0,0.749,67.177,2,0.776,18.737,0,0.778,20.795
max_unimprove_iter:2_mutators:0_num_restarts:2_reaction_factor:2,0,0.73,206.496,0,0.549,93.12,0,0.89,89.296,0,0.738,95.498,2,0.762,27.938,0,0.78,28.559
max_unimprove_iter:2_mutators:1_num_restarts:0_reaction_factor:0,0,0.812,50.424,0,0.712,21.574,0,0.921,19.382,1,0.834,18.581,4,0.904,5.978,3,0.936,5.153
max_unimprove_iter:2_mutators:1_num_restarts:1_reaction_factor:0,0,0.869,149.767,1,0.837,66.13,0,0.936,62.747,0,0.899,66.539,7,0.978,18.99,6,0.946,19.031
max_unimprove_iter:2_mutators:1_num_restarts:2_reaction_factor:0,0,0.858,204.441,0,0.805,93.342,0,0.939,90.875,0,0.895,98.141,8,0.978,27.738,7,0.957,26.916
max_unimprove_iter:2_mutators:1_num_restarts:0_reaction_factor:1,0,0.809,49.843,0,0.75,22.337,0,0.905,20.837,0,0.851,18.765,5,0.946,4.994,4,0.917,6.356
